label,elapsed_s,eps,consumer_lag,pipeline_latency_ms_sample,rss_bytes
after-50x,20,659.4,2,868,125616128
after-50x,21,712.2,1,873,125616128
after-50x,22,666.3,0,876,125616128
after-50x,23,668.3,1,881,125616128
after-50x,24,620.1,0,882,125829120
after-50x,25,595.6,0,888,125845504
after-50x,26,621.9,0,892,125845504
after-50x,27,635.5,1,896,126779392
after-50x,28,697.2,1,902,126779392
after-50x,30,597.8,1,902,126779392
after-100x,0,0.0,0,567,126271488
after-100x,1,585.3,0,575,126271488
after-100x,2,28.8,0,665,126271488
after-100x,3,291.1,0,620,126271488
after-100x,4,694.5,1,590,126271488
after-100x,5,695.9,0,591,126271488
after-100x,6,667.0,0,595,126271488
after-100x,7,232.3,0,638,126271488
after-100x,8,30.8,0,611,126746624
after-100x,9,493.0,1,607,126271488
after-100x,10,645.1,0,611,126271488
after-100x,11,650.4,0,615,126271488
after-100x,12,689.2,0,617,126271488
after-100x,13,674.0,0,621,126271488
after-100x,14,680.0,0,624,126271488
after-100x,15,715.1,1,627,126271488
after-100x,16,675.0,0,631,126271488
after-100x,17,686.3,0,636,126271488
after-100x,18,693.2,1,638,126271488
after-100x,19,711.2,0,642,126271488
after-100x,20,718.1,0,646,126271488
after-100x,21,700.5,0,650,126271488
after-100x,22,693.9,0,653,126271488
after-100x,23,654.4,1,658,126271488
after-100x,24,673.0,0,660,126271488
after-100x,25,672.0,0,667,126271488
after-100x,26,695.2,1,670,126271488
after-100x,27,683.9,1,674,126271488
after-100x,28,678.0,0,676,126271488
after-100x,29,668.3,1,681,126271488
after-100x,30,691.2,0,684,126271488
